seed,condition,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,mean_decision_latency_ms,p95_decision_latency_ms,decision_calls
2000,clean,11046.51135839281,10651.30454594845,115.13045459484493,0.0,11161.641812987655,10.6,0.72,0.0,0.0,5.0,438.68865999393165,1732.1144200046542,5.0
2000,price_noise_low,11026.443876810208,10637.465332208318,113.74653322083178,0.0,11140.19041003104,13.02,0.72,0.0,0.0,5.0,7.263159996364266,7.810259994585067,5.0
2000,price_noise_high,11062.578980576482,10747.029560562241,124.70295605622414,0.0,11187.281936632706,14.94,0.66,0.0,0.0,5.0,6.481819995678961,7.019379979465157,5.0
2000,cef_noise_high,11079.410995934812,10519.556545501053,101.9556545501053,0.0,11181.366650484917,12.28,0.72,0.0,0.0,5.0,7.204080012161285,8.172540017403662,5.0
2000,bandwidth_dropout_20pct,11046.51135839281,10651.30454594845,115.13045459484493,0.0,11161.641812987655,10.6,0.72,0.0,0.0,5.0,6.301659997552633,7.037560013122857,5.0
2000,bandwidth_dropout_50pct,11046.51135839281,10651.30454594845,115.13045459484493,0.0,11161.641812987655,10.6,0.72,0.0,0.0,5.0,6.978680018801242,9.168800013139844,5.0
2001,clean,11052.842520247263,10898.57868216263,139.85786821626297,0.0,11192.700388463525,15.1,0.58,0.0,0.0,5.0,6.492560007609427,7.203580008354038,5.0
2001,price_noise_low,11058.615914879843,10946.915063535158,144.6915063535158,0.0,11203.30742123336,15.4,0.64,0.0,0.0,6.0,6.263050008177136,7.183125009760261,6.0
2001,price_noise_high,10848.701421474303,11086.329216635277,158.63292166352767,0.0,11007.33434313783,15.3,0.62,0.0,0.0,6.0,6.412899985055749,6.8377499701455235,6.0
2001,cef_noise_high,11147.218152521727,10708.323996945343,120.83239969453426,0.0,11268.050552216262,15.5,0.6,0.0,0.0,6.0,6.377883333091934,7.260650003445335,6.0
2001,bandwidth_dropout_20pct,11052.842520247263,10898.57868216263,139.85786821626297,0.0,11192.700388463525,15.1,0.58,0.0,0.0,5.0,6.481440016068518,6.989919999614358,5.0
2001,bandwidth_dropout_50pct,11052.842520247263,10898.57868216263,139.85786821626297,0.0,11192.700388463525,15.1,0.58,0.0,0.0,5.0,6.796939997002482,7.661879970692098,5.0
2002,clean,11240.004882149344,10798.923677318307,129.89236773183075,0.0,11369.897249881175,8.1,0.64,0.0,0.0,5.0,6.2799999956041574,6.780339975375682,5.0
