episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs
0,0,train_0009,12212.362471718676,10597.490158281806,109.74901582818057,0.0,12322.111487546856,16.48,0.66,0.0,0.0,5.0
1,0,train_0409,12639.24930032372,10934.341631409465,143.43416314094648,0.0,12782.683463464666,18.42,0.72,0.0,0.0,5.0
2,0,train_0355,12518.044784493954,10535.052769758138,103.50527697581384,0.0,12621.550061469767,14.66,0.54,0.0,0.0,5.0
3,0,train_0032,12520.239939368641,10530.621417768118,103.06214177681177,0.0,12623.302081145453,16.74,0.72,0.0,0.0,5.0
4,0,train_0545,12213.71081921022,10098.620090138127,59.86200901381272,0.0,12273.572828224032,17.24,0.66,0.0,0.0,5.0
5,0,train_0132,12397.979024956385,10441.76256261267,94.17625626126701,0.0,12492.155281217652,17.42,0.46,0.0,0.0,5.0
6,0,train_0153,12315.19913492378,10363.539370099024,86.35393700990244,0.0,12401.553071933682,16.78,0.66,0.0,0.0,5.0
7,0,train_0110,12343.28869039063,10398.858418870126,89.88584188701262,0.0,12433.174532277642,17.92,0.78,0.0,0.0,5.0
8,0,train_0200,12476.788558074433,10305.17566445115,80.51756644511498,0.0,12557.306124519548,16.7,0.88,0.0,0.0,5.0
9,0,train_0105,12463.380636251397,10627.922425271956,112.7922425271956,0.0,12576.172878778592,14.48,0.7,0.0,0.0,5.0
10,0,train_0208,12516.94243256186,10577.798846561847,107.77988465618473,0.0,12624.722317218046,15.14,0.66,0.0,0.0,5.0
11,0,train_0487,12716.935651142467,10256.886214235994,75.6886214235994,0.0,12792.624272566067,15.98,0.54,0.0,0.0,5.0
12,0,train_0270,12494.820163994345,10271.491864829566,77.14918648295662,0.0,12571.969350477302,15.52,0.62,0.0,0.0,5.0
13,0,train_0554,12276.197309951489,10184.790579143977,68.47905791439771,0.0,12344.676367865886,13.1,0.66,0.0,0.0,5.0
14,0,train_0269,12072.781808599704,9717.959652986983,21.79596529869832,0.0,12094.577773898403,15.72,0.6,0.0,0.0,5.0
15,0,train_0165,12152.738093104228,10000.98980289846,50.09898028984608,0.0,12202.837073394074,16.98,0.7,0.0,0.0,5.0
16,0,train_0473,12041.898394396516,10339.645629452563,83.96456294525633,0.0,12125.862957341773,17.24,0.82,0.0,0.0,5.0
17,0,train_0491,12634.802335219782,10220.026763492884,72.00267634928842,0.0,12706.80501156907,15.22,0.68,0.0,0.0,5.0
18,0,train_0517,12748.520372877814,10415.39177442328,91.53917744232804,0.0,12840.059550320142,16.86,0.72,0.0,0.0,5.0
19,0,train_0533,11867.657283956378,10370.94220129336,87.09422012933592,0.0,11954.751504085714,15.32,0.58,0.0,0.0,5.0
20,0,train_0015,12504.43690094051,10225.861135524097,72.58611355240974,0.0,12577.023014492921,14.64,0.82,0.0,0.0,5.0
21,0,train_0307,12217.94160969333,10383.507657006237,88.35076570062375,0.0,12306.292375393952,16.62,0.56,0.0,0.0,5.0
22,0,train_0160,12379.854010806126,10419.936297627166,91.9936297627166,0.0,12471.847640568843,16.7,0.58,0.0,0.0,5.0
23,0,train_0146,12268.32693250117,10664.225194177612,116.42251941776122,0.0,12384.749451918931,15.0,0.58,0.0,0.0,5.0
24,0,train_0144,12984.634285558339,11221.048952166464,172.1048952166464,0.0,13156.739180774985,14.02,0.68,0.0,0.0,5.0
25,0,train_0494,12461.994657487918,10161.737986368298,66.17379863682982,0.0,12528.168456124748,16.34,0.58,0.0,0.0,5.0
26,0,train_0475,11973.231159016967,10290.701260200573,79.07012602005726,0.0,12052.301285037023,14.88,0.6,0.0,0.0,5.0
27,0,train_0128,12183.244047249715,10138.357364576801,63.835736457680106,0.0,12247.079783707395,14.9,0.66,0.0,0.0,5.0
28,0,train_0245,12241.26816679529,9872.352205446528,37.23522054465284,0.0,12278.503387339942,14.98,0.62,0.0,0.0,5.0
29,0,train_0444,12544.10298499213,10386.688222765299,88.66882227652987,0.0,12632.77180726866,16.94,0.64,0.0,0.0,5.0
30,0,train_0088,12319.750110052664,10675.140038636982,117.51400386369824,0.0,12437.264113916362,14.96,0.74,0.0,0.0,5.0
31,0,train_0377,12279.037427358404,10338.449500622446,83.8449500622446,0.0,12362.882377420648,17.08,0.72,0.0,0.0,5.0
32,0,train_0263,12240.422525343085,9903.62764318231,40.36276431823099,0.0,12280.785289661317,16.18,0.66,0.0,0.0,5.0
33,0,train_0556,12670.945308375369,10458.271073592678,95.82710735926776,0.0,12766.772415734637,14.4,0.64,0.0,0.0,5.0
34,0,train_0443,12488.221726060723,10816.256119040074,131.6256119040074,0.0,12619.847337964731,16.66,0.58,0.0,0.0,5.0
35,0,train_0139,12226.066320118622,10328.876606205313,82.88766062053128,0.0,12308.953980739152,13.88,0.66,0.0,0.0,5.0
36,0,train_0501,12541.128122808206,10445.906618722904,94.59066187229037,0.0,12635.718784680497,17.36,0.7,0.0,0.0,5.0
37,0,train_0479,12792.418012598844,10980.098986959503,148.00989869595034,0.0,12940.427911294795,16.72,0.48,0.0,0.0,5.0
38,0,train_0127,12797.476754454263,10519.495618505665,101.94956185056654,0.0,12899.426316304829,15.72,0.62,0.0,0.0,5.0
39,0,train_0310,12143.897964678526,10029.380506563431,52.93805065634315,0.0,12196.83601533487,15.24,0.82,0.0,0.0,5.0
40,0,train_0476,12582.969550184538,10606.297266685237,110.62972666852366,0.0,12693.599276853061,17.96,0.64,0.0,0.0,5.0
41,0,train_0138,12206.190388365609,10381.67910087217,88.16791008721702,0.0,12294.358298452826,16.66,0.62,0.0,0.0,5.0
42,0,train_0146,12414.235370013928,10401.011168718931,90.10111687189311,0.0,12504.33648688582,16.04,0.72,0.0,0.0,5.0
43,0,train_0099,11780.101045196923,10120.65803086881,62.06580308688099,0.0,11842.166848283805,17.68,0.54,0.0,0.0,5.0
44,0,train_0004,12630.366475011151,10504.151946170052,100.41519461700518,0.0,12730.781669628157,18.68,0.62,0.0,0.0,5.0
45,0,train_0298,11632.338975952473,10283.674772272694,78.36747722726942,0.0,11710.706453179742,16.42,0.7,0.0,0.0,5.0
46,0,train_0009,12479.184318009411,10547.224680137642,104.72246801376423,0.0,12583.906786023175,15.42,0.62,0.0,0.0,5.0
47,0,train_0349,11941.84179967458,10345.37661247413,84.53766124741306,0.0,12026.379460921993,16.2,0.66,0.0,0.0,5.0
48,0,train_0249,12594.938477445063,10501.326566266152,100.13265662661524,0.0,12695.071134071677,16.06,0.64,0.0,0.0,5.0
49,0,train_0110,12374.998825654773,10422.664334322208,92.26643343222077,0.0,12467.265259086995,17.56,0.72,0.0,0.0,5.0
50,0,train_0217,12114.146391759306,10696.899920904154,119.6899920904154,0.0,12233.836383849723,17.3,0.74,0.0,0.0,5.0
51,0,train_0008,12530.970260667746,10376.690463974865,87.66904639748645,0.0,12618.639307065232,13.86,0.7,0.0,0.0,5.0
