episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,carbon_lambda
0,0,train_0511,12312.140332887491,10241.74522663315,74.17452266331493,0.0,12386.314855550807,14.58,0.56,0.0,0.0,7.0,1.0902917658958085
1,0,train_0107,12708.735250652388,10316.793594543578,81.67935945435784,0.0,12790.414610106745,16.74,0.74,0.0,0.0,7.0,1.3238195081708983
2,0,train_0015,12192.875354240248,10554.740196273957,105.47401962739569,0.0,12298.349373867644,14.22,0.72,0.0,0.0,7.0,1.8092580324956624
3,0,train_0383,12401.151170507008,10009.06509720366,50.90650972036602,0.0,12452.057680227374,15.38,0.6,0.0,0.0,7.0,1.1823767440988906
4,0,train_0219,12433.537279192959,10325.572084171145,82.55720841711445,0.0,12516.094487610073,17.16,0.64,0.0,0.0,7.0,1.7321732846075286
5,0,train_0280,12694.361584701699,10324.22788386522,82.42278838652202,0.0,12776.784373088221,17.64,0.6,0.0,0.0,7.0,1.8673363395570037
6,0,train_0047,12279.89495957951,10079.71797523202,57.97179752320208,0.0,12337.86675710271,14.42,0.74,0.0,0.0,7.0,1.6448466797427435
7,0,train_0222,12186.145707455546,10641.463447343966,114.14634473439656,0.0,12300.292052189941,17.34,0.66,0.0,0.0,7.0,1.8968592631667593
8,0,train_0386,12615.356556777944,10388.674203410643,88.86742034106429,0.0,12704.223977119009,15.36,0.72,0.0,0.0,7.0,1.8968592631667593
9,0,train_0212,12051.033790427951,10299.08736789455,79.908736789455,0.0,12130.942527217407,15.06,0.7,0.0,0.0,7.0,1.8968592631667593
10,0,train_0498,12609.032246355271,10654.86870918825,115.48687091882493,0.0,12724.519117274096,15.64,0.66,0.0,0.0,7.0,1.8968592631667593
11,0,train_0474,12656.356282720355,10601.840375995633,110.18403759956328,0.0,12766.540320319918,15.28,0.78,0.0,0.0,7.0,1.8968592631667593
12,0,train_0422,12677.209510294126,10230.540257718512,73.05402577185123,0.0,12750.263536065977,14.52,0.7,0.0,0.0,7.0,1.8968592631667593
13,0,train_0543,12609.272710410933,10362.928376252068,86.29283762520681,0.0,12695.56554803614,16.9,0.66,0.0,0.0,7.0,1.8968592631667593
14,0,train_0432,12189.883341844648,10298.019057299858,79.80190572998582,0.0,12269.685247574635,13.52,0.58,0.0,0.0,7.0,1.8968592631667593
15,0,train_0106,12919.942714100645,10540.030667878927,104.00306678789275,0.0,13023.945780888538,16.26,0.66,0.0,0.0,7.0,1.8968592631667593
16,0,train_0515,12492.917007051707,10324.566420031424,82.4566420031424,0.0,12575.373649054849,17.84,0.78,0.0,0.0,7.0,1.8968592631667593
17,0,train_0391,12383.551628785266,10257.499169780818,75.74991697808183,0.0,12459.301545763348,15.98,0.68,0.0,0.0,7.0,1.8968592631667593
18,0,train_0059,12538.769507510613,10433.57053766046,93.35705376604602,0.0,12632.126561276658,15.5,0.54,0.0,0.0,7.0,1.8968592631667593
19,0,train_0178,12327.31446389594,9914.336042540172,41.433604254017155,0.0,12368.748068149958,14.94,0.6,0.0,0.0,7.0,1.8968592631667593
20,0,train_0099,12145.698652181729,10063.903966981945,56.39039669819449,0.0,12202.089048879923,17.86,0.7,0.0,0.0,7.0,1.8968592631667593
21,0,train_0580,12549.450793283124,10655.74047231166,115.57404723116598,0.0,12665.02484051429,16.28,0.5,0.0,0.0,7.0,1.8968592631667593
22,0,train_0436,12604.943602153191,10497.440510201406,99.74405102014062,0.0,12704.687653173332,15.5,0.66,0.0,0.0,7.0,1.8968592631667593
23,0,train_0551,12158.131477360352,10399.097733222841,89.90977332228414,0.0,12248.041250682636,16.92,0.78,0.0,0.0,7.0,1.8968592631667593
24,0,train_0169,12195.617627358744,9933.679332460128,43.36793324601277,0.0,12238.985560604757,15.24,0.6,0.0,0.0,7.0,1.8968592631667593
25,0,train_0381,12288.944155342426,10184.183180582479,68.41831805824786,0.0,12357.362473400673,14.16,0.56,0.0,0.0,7.0,1.8968592631667593
26,0,train_0362,12139.7656904797,10212.326075421817,71.23260754218173,0.0,12210.998298021883,15.96,0.58,0.0,0.0,7.0,1.8968592631667593
27,0,train_0451,13193.330346533765,10248.402598656063,74.84025986560628,0.0,13268.170606399372,16.88,0.86,0.0,0.0,7.0,1.8968592631667593
28,0,train_0070,11819.466899703726,10086.603050491254,58.66030504912542,0.0,11878.127204752851,13.2,0.72,0.0,0.0,7.0,1.8968592631667593
