episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,carbon_lambda
0,0,train_0511,12361.843511221781,10213.642256069532,71.36422560695318,0.0,12433.207736828734,15.12,0.62,0.0,0.0,5.0,0.6449628755448891
1,0,train_0107,12715.962243612412,10471.083245320067,97.10832453200675,0.0,12813.070568144418,16.34,0.62,0.0,0.0,5.0,0.6449628755448891
2,0,train_0015,12399.216724677064,10258.554655134607,75.8554655134607,0.0,12475.072190190525,15.34,0.76,0.0,0.0,5.0,0.6449628755448891
3,0,train_0383,12052.743843954291,10096.371670372777,59.63716703727769,0.0,12112.381010991568,16.48,0.78,0.0,0.0,5.0,0.6449628755448891
4,0,train_0219,12237.659285167705,10562.295305643342,106.22953056433417,0.0,12343.88881573204,16.98,0.74,0.0,0.0,5.0,0.6449628755448891
5,0,train_0280,12651.283608646661,10316.749549378017,81.67495493780172,0.0,12732.958563584463,16.68,0.66,0.0,0.0,5.0,0.6449628755448891
6,0,train_0047,12354.693583549875,10080.941435813707,58.09414358137074,0.0,12412.787727131246,14.74,0.7,0.0,0.0,5.0,0.6449628755448891
7,0,train_0222,12673.302247628999,10374.51194987372,87.45119498737205,0.0,12760.753442616371,17.52,0.6,0.0,0.0,5.0,0.6449628755448891
8,0,train_0386,12440.544463570966,10433.551987631945,93.3551987631945,0.0,12533.89966233416,13.58,0.58,0.0,0.0,5.0,0.6449628755448891
9,0,train_0212,12083.231044815648,10353.66774373901,85.366774373901,0.0,12168.597819189548,14.92,0.6,0.0,0.0,5.0,0.6449628755448891
10,0,train_0498,12374.843375614437,10657.232561093864,115.72325610938643,0.0,12490.566631723823,15.0,0.62,0.0,0.0,5.0,0.6449628755448891
11,0,train_0474,12350.938125096254,10674.918451614245,117.49184516142451,0.0,12468.429970257679,15.22,0.56,0.0,0.0,5.0,0.6449628755448891
12,0,train_0422,12572.394899700303,10612.984251438258,111.29842514382581,0.0,12683.69332484413,15.14,0.56,0.0,0.0,5.0,0.6449628755448891
13,0,train_0543,12644.096463848962,10639.609098163593,113.96090981635935,0.0,12758.057373665322,16.06,0.5,0.0,0.0,5.0,0.6449628755448891
14,0,train_0432,12427.353083743095,10221.755901341334,72.17559013413339,0.0,12499.528673877228,15.3,0.84,0.0,0.0,5.0,0.6449628755448891
15,0,train_0106,12577.667099855964,10839.20861400168,133.920861400168,0.0,12711.587961256131,17.76,0.54,0.0,0.0,5.0,0.6449628755448891
16,0,train_0515,12029.031422250708,10541.53205902404,104.15320590240408,0.0,12133.184628153112,17.46,0.62,0.0,0.0,5.0,0.6449628755448891
17,0,train_0391,12255.68049001997,10366.758528389437,86.67585283894368,0.0,12342.356342858913,15.36,0.68,0.0,0.0,5.0,0.6449628755448891
18,0,train_0059,12482.298054094048,10728.021605797538,122.80216057975377,0.0,12605.100214673801,15.14,0.64,0.0,0.0,5.0,0.6449628755448891
19,0,train_0178,12255.264899794834,10219.938117420474,71.99381174204737,0.0,12327.258711536882,15.7,0.62,0.0,0.0,5.0,0.6449628755448891
20,0,train_0099,12177.777647186591,9957.966186132697,45.79661861326968,0.0,12223.57426579986,16.84,0.56,0.0,0.0,5.0,0.6449628755448891
21,0,train_0580,12801.360097221534,10657.861610073993,115.78616100739929,0.0,12917.146258228933,16.18,0.68,0.0,0.0,5.0,0.6449628755448891
22,0,train_0436,12426.505500844436,10579.918486982122,107.99184869821221,0.0,12534.497349542647,16.56,0.8,0.0,0.0,5.0,0.6449628755448891
23,0,train_0551,12079.162625802066,10254.443537719942,75.44435377199424,0.0,12154.60697957406,14.92,0.62,0.0,0.0,5.0,0.6449628755448891
