episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations
0,0,train_0566,12237.2890625,10275.6728515625,77.56728515625001,0.0,12314.85634765625,14.64,0.72,0.0,0.0
1,0,train_0375,12330.6689453125,10844.2021484375,134.42021484375002,0.0,12465.08916015625,15.34,0.7,0.0,0.0
2,0,train_0410,12801.734375,10567.005859375,106.70058593750001,0.0,12908.4349609375,17.42,0.68,0.0,0.0
3,0,train_0538,12593.6240234375,10682.736328125,118.27363281250001,0.0,12711.89765625,16.48,0.52,0.0,0.0
4,0,train_0346,12639.07421875,10903.654296875,140.3654296875,0.0,12779.4396484375,16.84,0.64,0.0,0.0
5,0,train_0465,12699.7509765625,10723.4267578125,122.34267578125001,0.0,12822.09365234375,16.6,0.62,0.0,0.0
6,0,train_0500,12323.259765625,10368.20703125,86.82070312500001,0.0,12410.08046875,15.12,0.56,0.0,0.0
7,0,train_0135,12653.041015625,10248.859375,74.8859375,0.0,12727.926953125,16.82,0.64,0.0,0.0
8,0,train_0033,12803.0703125,10550.935546875,105.0935546875,0.0,12908.1638671875,14.22,0.64,0.0,0.0
9,0,train_0180,12704.8251953125,10555.724609375,105.57246093750001,0.0,12810.39765625,17.52,0.64,0.0,0.0
10,0,train_0171,12854.4306640625,10819.658203125,131.9658203125,0.0,12986.396484375,17.12,0.68,0.0,0.0
11,0,train_0524,12120.39453125,10235.5244140625,73.55244140625,0.0,12193.94697265625,15.48,0.64,0.0,0.0
12,0,train_0547,12866.0654296875,10465.470703125,96.54707031250001,0.0,12962.6125,17.6,0.64,0.0,0.0
13,0,train_0003,12025.7529296875,10324.8271484375,82.48271484375,0.0,12108.23564453125,16.6,0.58,0.0,0.0
14,0,train_0299,12150.8154296875,10535.1259765625,103.51259765625001,0.0,12254.32802734375,13.7,0.68,0.0,0.0
15,0,train_0492,12255.91796875,10428.6796875,92.86796875,0.0,12348.7859375,16.82,0.7,0.0,0.0
16,1,train_0078,12382.484375,10157.5703125,65.75703125,0.0,12448.24140625,13.78,0.62,0.0,0.0
17,1,train_0478,12390.0986328125,10396.328125,89.6328125,0.0,12479.7314453125,15.26,0.72,0.0,0.0
18,1,train_0071,12578.55078125,10324.294921875,82.4294921875,0.0,12660.9802734375,14.64,0.6,0.0,0.0
19,1,train_0280,12483.50390625,10449.7138671875,94.97138671875001,0.0,12578.47529296875,15.24,0.52,0.0,0.0
20,1,train_0489,12068.82421875,10110.4013671875,61.040136718750006,0.0,12129.86435546875,17.52,0.66,0.0,0.0
21,1,train_0181,11573.0009765625,9821.373046875,32.1373046875,0.0,11605.13828125,16.58,0.74,0.0,0.0
22,1,train_0204,12449.3662109375,10720.8984375,122.08984375,0.0,12571.4560546875,16.84,0.62,0.0,0.0
23,1,train_0167,12181.4306640625,10125.83203125,62.583203125000004,0.0,12244.0138671875,17.4,0.7,0.0,0.0
24,1,train_0431,12578.095703125,10034.0810546875,53.40810546875,0.0,12631.50380859375,16.16,0.6,0.0,0.0
25,1,train_0152,12558.05078125,10443.86328125,94.386328125,0.0,12652.437109375,14.52,0.64,0.0,0.0
26,1,train_0594,12171.12109375,10001.3134765625,50.13134765625,0.0,12221.25244140625,17.18,0.7,0.0,0.0
27,1,train_0267,12110.1201171875,10289.80859375,78.98085937500001,0.0,12189.1009765625,16.4,0.68,0.0,0.0
28,1,train_0286,12652.0087890625,10784.0439453125,128.40439453125,0.0,12780.41318359375,16.26,0.78,0.0,0.0
29,1,train_0302,12369.220703125,10730.263671875,123.0263671875,0.0,12492.2470703125,14.54,0.68,0.0,0.0
30,1,train_0349,12190.4345703125,10072.580078125,57.258007812500004,0.0,12247.692578125,15.82,0.7,0.0,0.0
31,1,train_0332,12080.873046875,10225.6328125,72.56328125,0.0,12153.436328125,16.84,0.62,0.0,0.0
32,2,train_0305,12311.935546875,10658.0341796875,115.80341796875001,0.0,12427.73896484375,16.32,0.64,0.0,0.0
33,2,train_0597,12401.5810546875,10396.7255859375,89.67255859375001,0.0,12491.25361328125,17.32,0.74,0.0,0.0
34,2,train_0484,12446.310546875,10364.7236328125,86.47236328125001,0.0,12532.78291015625,13.62,0.6,0.0,0.0
35,2,train_0475,11925.83203125,10484.146484375,98.4146484375,0.0,12024.2466796875,14.54,0.62,0.0,0.0
