episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,carbon_lambda
0,0,train_0511,11875.6796875,10551.1953125,105.11953125000001,0.0,11980.79921875,16.0,0.74,0.0,0.0,5.0
1,0,train_0107,12813.7958984375,10500.6640625,100.06640625,0.0,12913.8623046875,15.64,0.72,0.0,0.0,5.0
2,0,train_0015,12368.99609375,10106.16015625,60.616015625,0.0,12429.612109375,15.6,0.66,0.0,0.0,5.0
3,0,train_0383,12056.3828125,10670.470703125,117.04707031250001,0.0,12173.4298828125,17.32,0.68,0.0,0.0,5.0
4,0,train_0219,12417.0908203125,10491.7373046875,99.17373046875001,0.0,12516.26455078125,15.96,0.58,0.0,0.0,5.0
5,0,train_0280,12409.85546875,10656.998046875,115.6998046875,0.0,12525.5552734375,17.66,0.66,0.0,0.0,5.0
6,0,train_0047,12097.923828125,10263.8076171875,76.38076171875001,0.0,12174.30458984375,14.28,0.62,0.0,0.0,5.0
7,0,train_0222,12651.0615234375,10034.0107421875,53.401074218750004,0.0,12704.46259765625,18.18,0.64,0.0,0.0,5.0
8,0,train_0386,12475.9892578125,10481.279296875,98.1279296875,0.0,12574.1171875,15.66,0.68,0.0,0.0,5.0
9,0,train_0212,12374.6015625,10186.6787109375,68.66787109375001,0.0,12443.26943359375,15.12,0.66,0.0,0.0,5.0
10,0,train_0498,12506.595703125,10637.5517578125,113.75517578125,0.0,12620.35087890625,14.82,0.6,0.0,0.0,5.0
11,0,train_0474,12595.638671875,10294.98828125,79.498828125,0.0,12675.1375,14.06,0.5,0.0,0.0,5.0
12,0,train_0422,12418.5751953125,10553.9365234375,105.39365234375,0.0,12523.96884765625,15.2,0.54,0.0,0.0,5.0
13,0,train_0543,12467.044921875,10501.390625,100.13906250000001,0.0,12567.183984375,16.14,0.9,0.0,0.0,5.0
14,0,train_0432,12295.505859375,10501.1435546875,100.11435546875,0.0,12395.62021484375,15.16,0.68,0.0,0.0,5.0
15,0,train_0106,12673.7109375,10915.234375,141.5234375,0.0,12815.234375,16.58,0.72,0.0,0.0,5.0
