episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,carbon_lambda
0,0,train_0053,12285.598585773947,10715.700184071075,121.57001840710745,0.0,12407.168604181054,16.1,0.82,0.0,0.0,5.0,5.0
1,0,train_0464,12435.56685361787,10368.05919443845,86.80591944384506,0.0,12522.372773061714,15.76,0.76,0.0,0.0,5.0,5.0
2,0,train_0392,12386.594967786132,10448.557608870768,94.85576088707677,0.0,12481.450728673208,15.84,0.7,0.0,0.0,5.0,5.0
3,0,train_0263,11971.727635918925,10064.284848174806,56.42848481748061,0.0,12028.156120736407,15.6,0.7,0.0,0.0,5.0,5.0
4,0,train_0259,12693.354739791212,10420.081553547658,92.00815535476578,0.0,12785.362895145978,14.96,0.5,0.0,0.0,5.0,5.0
5,0,train_0515,12403.982269515194,10490.194650014782,99.01946500147824,0.0,12503.001734516673,17.14,0.74,0.0,0.0,5.0,5.0
6,0,train_0051,12311.486524421389,10567.066622873333,106.70666228733336,0.0,12418.193186708722,17.66,0.68,0.0,0.0,5.0,5.0
7,0,train_0418,12656.043284204221,10483.083360337283,98.30833603372831,0.0,12754.351620237949,17.4,0.64,0.0,0.0,5.0,5.0
8,0,train_0120,12016.344970383892,10200.458215818868,70.04582158188678,0.0,12086.39079196578,17.04,0.6,0.0,0.0,5.0,5.0
9,0,train_0056,11760.311166813683,9967.477710587518,46.74777105875182,0.0,11807.058937872434,18.34,0.62,0.0,0.0,5.0,5.0
10,0,train_0315,12782.212674424034,10400.929971544014,90.09299715440139,0.0,12872.305671578435,16.3,0.68,0.0,0.0,5.0,5.0
11,0,train_0585,12668.72904733136,10348.969419849309,84.89694198493089,0.0,12753.625989316291,12.2,0.52,0.0,0.0,5.0,5.0
12,0,train_0441,12518.331165033549,10395.107187329457,89.51071873294569,0.0,12607.841883766494,16.58,0.7,0.0,0.0,5.0,5.0
13,0,train_0456,12575.882622592639,10290.381745414437,79.03817454144374,0.0,12654.920797134082,15.84,0.64,0.0,0.0,5.0,5.0
14,0,train_0430,12325.086953691585,10336.472053342139,83.64720533421388,0.0,12408.734159025798,15.68,0.7,0.0,0.0,5.0,5.0
15,0,train_0471,12701.156310552782,10601.530806921855,110.15308069218554,0.0,12811.309391244968,13.94,0.76,0.0,0.0,5.0,5.0
16,0,train_0307,12375.373470330196,10214.559432452825,71.45594324528247,0.0,12446.829413575479,16.24,0.6,0.0,0.0,5.0,5.0
17,0,train_0076,12372.299817656403,10477.858639621321,97.78586396213214,0.0,12470.085681618535,16.46,0.7,0.0,0.0,5.0,5.0
18,0,train_0503,13301.16996812381,10148.604515988107,64.86045159881068,0.0,13366.03041972262,16.12,0.78,0.0,0.0,5.0,5.0
19,0,train_0270,12222.622055292824,10538.074617379589,103.80746173795887,0.0,12326.429517030783,16.36,0.58,0.0,0.0,5.0,5.0
20,0,train_0300,12046.903696281795,10183.728745118642,68.37287451186421,0.0,12115.27657079366,15.78,0.72,0.0,0.0,5.0,5.0
21,0,train_0222,12471.298910617683,10518.815246292297,101.88152462922972,0.0,12573.180435246912,18.68,0.72,0.0,0.0,5.0,5.0
22,0,train_0109,12682.971634180598,10362.696111495487,86.26961114954867,0.0,12769.241245330146,16.82,0.7,0.0,0.0,5.0,5.0
23,0,train_0556,12575.986282541062,10181.749896267173,68.17498962671725,0.0,12644.16127216778,14.12,0.74,0.0,0.0,5.0,5.0
24,0,train_0468,12427.88228658642,9986.945644243498,48.69456442434985,0.0,12476.57685101077,15.68,0.68,0.0,0.0,5.0,5.0
25,0,train_0386,12452.286315903844,10250.357186947269,75.0357186947269,0.0,12527.322034598572,14.92,0.6,0.0,0.0,5.0,5.0
26,0,train_0241,12239.265330489183,10076.779234690242,57.67792346902425,0.0,12296.943253958207,16.04,0.52,0.0,0.0,5.0,5.0
27,0,train_0493,12063.067606206523,10401.929749549758,90.19297495497577,0.0,12153.2605811615,16.78,0.7,0.0,0.0,5.0,5.0
28,0,train_0327,12374.113634068379,10704.88649101145,120.48864910114499,0.0,12494.602283169525,17.2,0.62,0.0,0.0,5.0,5.0
29,0,train_0266,12423.599437879582,10638.012751797516,113.80127517975161,0.0,12537.400713059335,16.1,0.64,0.0,0.0,5.0,5.0
30,0,train_0270,12343.287272779657,10377.935129339512,87.7935129339512,0.0,12431.080785713608,14.88,0.66,0.0,0.0,5.0,5.0
31,0,train_0136,12359.97998229697,10254.360037153154,75.43600371531538,0.0,12435.415986012285,16.68,0.64,0.0,0.0,5.0,5.0
32,0,train_0055,12706.185883555969,10256.481990664504,75.64819906645043,0.0,12781.83408262242,14.14,0.68,0.0,0.0,5.0,5.0
33,0,train_0332,12020.685154876039,10188.85505852632,68.88550585263202,0.0,12089.57066072867,15.26,0.72,0.0,0.0,5.0,5.0
34,0,train_0532,12816.591958692563,10173.41548197324,67.34154819732395,0.0,12883.933506889887,15.86,0.56,0.0,0.0,5.0,5.0
35,0,train_0038,12352.547745190439,10581.88078636278,108.18807863627808,0.0,12460.735823826717,17.24,0.76,0.0,0.0,5.0,5.0
36,0,train_0514,12368.400324259866,10563.274897477886,106.3274897477886,0.0,12474.727814007656,14.14,0.68,0.0,0.0,5.0,5.0
37,0,train_0496,12403.51647634854,10354.570145131704,85.45701451317036,0.0,12488.973490861712,16.08,0.74,0.0,0.0,5.0,5.0
38,0,train_0166,12323.582621036872,9973.69667384227,47.36966738422707,0.0,12370.9522884211,15.52,0.68,0.0,0.0,5.0,5.0
39,0,train_0378,12604.874008848019,10602.156819182033,110.21568191820334,0.0,12715.089690766223,16.52,0.56,0.0,0.0,5.0,5.0
40,0,train_0099,12170.337339702928,9941.430966120812,44.14309661208117,0.0,12214.480436315009,18.18,0.66,0.0,0.0,5.0,5.0
41,0,train_0454,12778.61919389465,10838.041083679142,133.80410836791415,0.0,12912.423302262565,15.9,0.66,0.0,0.0,5.0,5.0
42,0,train_0420,12373.820176302412,10176.728914008929,67.67289140089288,0.0,12441.493067703304,14.42,0.72,0.0,0.0,5.0,5.0
43,0,train_0212,12413.371444460918,10048.593356255498,54.85933562554983,0.0,12468.230780086467,16.16,0.54,0.0,0.0,5.0,5.0
44,0,train_0040,12509.215939347261,10657.718964544409,115.77189645444088,0.0,12624.987835801701,17.36,0.56,0.0,0.0,5.0,5.0
45,0,train_0582,12833.298453974643,10320.106694243594,82.01066942435938,0.0,12915.309123399002,16.14,0.68,0.0,0.0,5.0,5.0
46,0,train_0267,12411.591846666593,9838.798899966201,33.879889996620115,0.0,12445.471736663214,17.7,0.7,0.0,0.0,5.0,5.0
47,0,train_0535,12146.582071413242,10399.969643790542,89.99696437905423,0.0,12236.579035792296,14.9,0.68,0.0,0.0,5.0,5.0
48,0,train_0406,12265.41819257124,10421.061934205449,92.10619342054488,0.0,12357.524385991785,18.14,0.72,0.0,0.0,5.0,5.0
49,0,train_0467,13104.237073481128,10872.498802991857,137.2498802991857,0.0,13241.486953780313,15.96,0.76,0.0,0.0,5.0,5.0
50,0,train_0455,13070.651746635682,10760.026679423116,126.00266794231158,0.0,13196.654414577994,17.38,0.66,0.0,0.0,5.0,5.0
51,0,train_0116,12257.069850769713,10384.77879738606,88.47787973860596,0.0,12345.547730508319,17.92,0.68,0.0,0.0,5.0,5.0
52,0,train_0218,12660.756415622276,10692.191867943056,119.21918679430564,0.0,12779.975602416582,16.56,0.74,0.0,0.0,5.0,5.0
53,0,train_0280,12440.73728566607,10429.053721880635,92.9053721880635,0.0,12533.642657854132,17.28,0.74,0.0,0.0,5.0,5.0
54,0,train_0298,12042.641605767978,10199.58078483296,69.95807848329605,0.0,12112.599684251274,14.56,0.8,0.0,0.0,5.0,5.0
55,0,train_0026,12195.93679564468,10207.610163432239,70.76101634322386,0.0,12266.697811987904,16.08,0.66,0.0,0.0,5.0,5.0
56,0,train_0327,12359.300242368523,10940.553779165399,144.05537791653987,0.0,12503.355620285063,16.02,0.64,0.0,0.0,5.0,5.0
57,0,train_0092,12695.095687575866,10471.281696344811,97.12816963448114,0.0,12792.223857210347,17.2,0.6,0.0,0.0,5.0,5.0
58,0,train_0446,12242.901853430929,10480.154786531446,98.01547865314461,0.0,12340.917332084073,15.06,0.72,0.0,0.0,5.0,5.0
59,0,train_0409,12658.652757119275,10729.299871240737,122.9299871240737,0.0,12781.582744243347,17.14,0.62,0.0,0.0,5.0,5.0
60,0,train_0553,11590.32484441342,10032.013616103499,53.20136161034989,0.0,11643.526206023771,17.7,0.7,0.0,0.0,5.0,5.0
61,0,train_0446,11976.348178853932,10366.058622804903,86.60586228049033,0.0,12062.954041134422,16.44,0.56,0.0,0.0,5.0,5.0
62,0,train_0219,13102.193727404756,10004.865756113824,50.486575611382435,0.0,13152.680303016139,15.48,0.62,0.0,0.0,5.0,5.0
63,0,train_0580,13081.53013925727,10754.772397388744,125.47723973887442,0.0,13207.007378996144,15.92,0.58,0.0,0.0,5.0,5.0
