episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations
0,0,train_0511,11875.6796875,10551.1953125,-268.88046875000003,268.88046875000003,11606.79921875,16.0,0.74,0.0,0.0
1,0,train_0107,12606.5078125,10674.404296875,-256.5595703125,256.5595703125,12349.9482421875,15.52,0.76,0.0,0.0
2,0,train_0015,12276.341796875,10192.4501953125,-304.75498046875003,304.75498046875003,11971.58681640625,15.6,0.66,0.0,0.0
3,0,train_0383,12001.474609375,10698.0556640625,-254.19443359375,254.19443359375,11747.28017578125,17.26,0.7,0.0,0.0
4,0,train_0219,12408.810546875,10501.3818359375,-273.86181640625,273.86181640625,12134.94873046875,15.96,0.6,0.0,0.0
5,0,train_0280,12449.376953125,10629.625,-261.0375,261.0375,12188.339453125,17.62,0.66,0.0,0.0
6,0,train_0047,12097.923828125,10263.8076171875,-297.61923828125003,297.61923828125003,11800.30458984375,14.28,0.62,0.0,0.0
7,0,train_0222,12651.0615234375,10034.0107421875,-320.59892578125005,320.59892578125005,12330.46259765625,18.18,0.64,0.0,0.0
8,0,train_0386,12475.9892578125,10481.279296875,-275.8720703125,275.8720703125,12200.1171875,15.66,0.68,0.0,0.0
9,0,train_0212,12263.953125,10243.931640625,-299.6068359375,299.6068359375,11964.3462890625,15.26,0.66,0.0,0.0
10,0,train_0498,12573.73046875,10733.171875,-250.6828125,250.6828125,12323.04765625,14.82,0.64,0.0,0.0
11,0,train_0474,12526.23828125,10422.33203125,-281.766796875,281.766796875,12244.471484375,14.38,0.56,0.0,0.0
12,0,train_0422,12424.197265625,10491.921875,-274.8078125,274.8078125,12149.389453125,15.24,0.56,0.0,0.0
13,0,train_0543,12439.232421875,10535.630859375,-270.4369140625,270.4369140625,12168.7955078125,16.12,0.92,0.0,0.0
14,0,train_0432,12192.916015625,10514.04296875,-272.595703125,272.595703125,11920.3203125,15.18,0.7,0.0,0.0
15,0,train_0106,12673.7109375,10915.234375,-232.4765625,232.4765625,12441.234375,16.58,0.72,0.0,0.0
