episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs
0,0,train_0511,12365.04593062155,10195.480019012062,-304.4519980987938,304.4519980987938,12060.593932522757,15.16,0.6,0.0,0.0,5.0
1,0,train_0107,12678.622646357646,10366.867956002752,-287.3132043997248,287.3132043997248,12391.309441957921,16.4,0.62,0.0,0.0,5.0
2,0,train_0015,12399.216724677064,10258.554655134607,-298.1445344865393,298.1445344865393,12101.072190190525,15.34,0.76,0.0,0.0,5.0
3,0,train_0383,12055.572998900254,10097.946418864925,-314.2053581135075,314.2053581135075,11741.367640786746,16.48,0.78,0.0,0.0,5.0
4,0,train_0219,12303.248827401225,10505.38000970172,-273.46199902982806,273.46199902982806,12029.786828371396,16.98,0.72,0.0,0.0,5.0
5,0,train_0280,12651.283608646661,10316.749549378017,-292.3250450621983,292.3250450621983,12358.958563584463,16.68,0.66,0.0,0.0,5.0
6,0,train_0047,12354.693583549875,10080.941435813707,-315.9058564186293,315.9058564186293,12038.787727131246,14.74,0.7,0.0,0.0,5.0
7,0,train_0222,12673.302247628999,10374.51194987372,-286.54880501262795,286.54880501262795,12386.753442616371,17.52,0.6,0.0,0.0,5.0
8,0,train_0386,12427.21338652777,10450.029695793466,-278.9970304206534,278.9970304206534,12148.216356107117,13.56,0.58,0.0,0.0,5.0
9,0,train_0212,12135.471156914784,10324.099859145928,-291.5900140854072,291.5900140854072,11843.881142829377,15.08,0.56,0.0,0.0,5.0
10,0,train_0498,12300.435626842785,10573.845692066556,-266.61543079334444,266.61543079334444,12033.82019604944,14.92,0.58,0.0,0.0,5.0
11,0,train_0474,12404.6081832738,10760.106404427788,-247.98935955722118,247.98935955722118,12156.618823716579,15.06,0.52,0.0,0.0,5.0
12,0,train_0422,12460.560060703974,10687.804761733938,-255.2195238266062,255.2195238266062,12205.340536877367,15.14,0.54,0.0,0.0,5.0
13,0,train_0543,12648.065670971962,10637.286972921767,-260.2713027078233,260.2713027078233,12387.79436826414,16.2,0.5,0.0,0.0,5.0
14,0,train_0432,12369.681423453483,10271.734577267971,-296.8265422732029,296.8265422732029,12072.85488118028,15.4,0.82,0.0,0.0,5.0
15,0,train_0106,12634.16852500708,10787.47726265248,-245.2522737347521,245.2522737347521,12388.916251272329,18.04,0.52,0.0,0.0,5.0
