episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,carbon_lambda
0,0,train_0511,12365.04593062155,10195.480019012062,-304.4519980987938,304.4519980987938,12060.593932522757,15.16,0.6,0.0,0.0,5.0,0.0
1,0,train_0107,12703.759868684472,10339.895418611824,-290.01045813881757,290.01045813881757,12413.749410545655,16.4,0.64,0.0,0.0,5.0,0.0
2,0,train_0015,12399.216724677064,10258.554655134607,-298.1445344865393,298.1445344865393,12101.072190190525,15.34,0.76,0.0,0.0,5.0,0.0
3,0,train_0383,12077.69405078299,10029.43253994608,-321.0567460053921,321.0567460053921,11756.637304777598,16.52,0.78,0.0,0.0,5.0,0.0
4,0,train_0219,12338.517700810087,10533.134747462358,-270.6865252537642,270.6865252537642,12067.831175556323,17.08,0.74,0.0,0.0,5.0,0.0
5,0,train_0280,12684.046617186612,10294.37113780842,-294.5628862191579,294.5628862191579,12389.483730967455,16.54,0.68,0.0,0.0,5.0,0.0
6,0,train_0047,12354.693583549875,10080.941435813707,-315.9058564186293,315.9058564186293,12038.787727131246,14.74,0.7,0.0,0.0,5.0,0.0
7,0,train_0222,12696.375286749151,10345.153284648291,-289.4846715351709,289.4846715351709,12406.89061521398,17.58,0.62,0.0,0.0,5.0,0.0
8,0,train_0386,12440.544463570966,10433.551987631945,-280.6448012368055,280.6448012368055,12159.89966233416,13.58,0.58,0.0,0.0,5.0,0.0
9,0,train_0212,12121.225732706696,10229.283121788241,-301.0716878211759,301.0716878211759,11820.154044885521,15.02,0.6,0.0,0.0,5.0,0.0
10,0,train_0498,12466.452695224834,10575.140591447867,-266.4859408552133,266.4859408552133,12199.966754369621,14.92,0.6,0.0,0.0,5.0,0.0
11,0,train_0474,12349.42917744215,10677.002647908961,-256.2997352091039,256.2997352091039,12093.129442233047,15.44,0.58,0.0,0.0,5.0,0.0
12,0,train_0422,12619.138604279839,10565.797500619805,-267.42024993801954,267.42024993801954,12351.71835434182,14.84,0.58,0.0,0.0,5.0,0.0
13,0,train_0543,12648.065670971962,10637.286972921767,-260.2713027078233,260.2713027078233,12387.79436826414,16.2,0.5,0.0,0.0,5.0,0.0
14,0,train_0432,12404.242531748963,10225.431823892919,-301.45681761070813,301.45681761070813,12102.785714138256,15.42,0.84,0.0,0.0,5.0,0.0
15,0,train_0106,12678.772972182654,10755.773899375326,-248.42261006246736,248.42261006246736,12430.350362120187,18.04,0.54,0.0,0.0,5.0,0.0
