seed,offset,scenario_id,status,system_cost,scheduled_fraction
1000,0,train_0000,FEASIBLE,10973.226566894176,1.0
1001,1,train_0001,FEASIBLE,11038.05066672671,1.0
1002,2,train_0002,OPTIMAL,11224.762101044573,1.0
1003,3,train_0003,OPTIMAL,11060.385101712629,1.0
1004,4,train_0004,FEASIBLE,11178.437794932219,1.0
1005,5,train_0005,FEASIBLE,10979.775454994613,1.0
1006,6,train_0006,FEASIBLE,11065.45803802722,1.0
1007,7,train_0007,FEASIBLE,11606.573268882175,1.0
1008,8,train_0008,OPTIMAL,11297.84755409384,1.0
1009,9,train_0009,FEASIBLE,11193.031580736879,1.0
1010,10,train_0010,FEASIBLE,11194.801087236465,1.0
1011,11,train_0011,OPTIMAL,10915.930262970776,1.0
1012,12,train_0012,FEASIBLE,11490.276899197526,1.0
1013,13,train_0013,OPTIMAL,11096.385349615868,1.0
1014,14,train_0014,OPTIMAL,11284.600277354964,1.0
1015,15,train_0015,OPTIMAL,10953.125344595257,1.0
1016,16,train_0016,FEASIBLE,11050.155626192618,1.0
1017,17,train_0017,FEASIBLE,11224.62039409174,1.0
1018,18,train_0018,OPTIMAL,11273.121886117018,1.0
1019,19,train_0019,OPTIMAL,11290.443804634986,1.0
1020,20,train_0020,OPTIMAL,11344.334330969234,1.0
1021,21,train_0021,OPTIMAL,11202.376069648708,1.0
1022,22,train_0022,OPTIMAL,11104.78967079028,1.0
1023,23,train_0023,FEASIBLE,11025.033804220235,1.0
1024,24,train_0024,OPTIMAL,10950.319051856754,1.0
1025,25,train_0025,OPTIMAL,11260.433598042195,1.0
1026,26,train_0026,FEASIBLE,10901.850059361599,1.0
1027,27,train_0027,OPTIMAL,11143.70646917813,1.0
1028,28,train_0028,FEASIBLE,11325.85430342217,1.0
1029,29,train_0029,OPTIMAL,11091.074502812831,1.0
1030,30,train_0030,FEASIBLE,11083.960079843877,1.0
1031,31,train_0031,FEASIBLE,11098.053271764913,1.0
1032,32,train_0032,FEASIBLE,11207.019970676381,1.0
1033,33,train_0033,OPTIMAL,11337.89830136516,1.0
1034,34,train_0034,FEASIBLE,11283.586140449714,1.0
1035,35,train_0035,FEASIBLE,11570.549181679018,1.0
1036,36,train_0036,OPTIMAL,11181.00567021496,1.0
1037,37,train_0037,OPTIMAL,11486.84237011086,1.0
1038,38,train_0038,OPTIMAL,11161.591958776626,1.0
1039,39,train_0039,FEASIBLE,11347.103795509061,1.0
1040,40,train_0040,FEASIBLE,11298.281191079794,1.0
1041,41,train_0041,OPTIMAL,11315.011681188598,1.0
1042,42,train_0042,OPTIMAL,11032.047326581162,1.0
1043,43,train_0043,FEASIBLE,11009.560216959335,1.0
1044,44,train_0044,FEASIBLE,11289.621534609085,1.0
1045,45,train_0045,OPTIMAL,11094.76191759398,1.0
1046,46,train_0046,OPTIMAL,10905.610198045437,1.0
1047,47,train_0047,OPTIMAL,11067.294900261992,1.0
1048,48,train_0048,OPTIMAL,11230.292049016976,1.0
1049,49,train_0049,OPTIMAL,11330.358975967156,1.0
1050,50,train_0050,FEASIBLE,11342.85161865178,1.0
1051,51,train_0051,FEASIBLE,11189.714814444822,1.0
1052,52,train_0052,OPTIMAL,11534.678388025106,1.0
1053,53,train_0053,OPTIMAL,11177.525023073153,1.0
1054,54,train_0054,OPTIMAL,11134.84542728519,1.0
1055,55,train_0055,FEASIBLE,11051.992153110605,1.0
1056,56,train_0056,FEASIBLE,10801.04221952106,1.0
1057,57,train_0057,OPTIMAL,10952.962513210077,1.0
1058,58,train_0058,OPTIMAL,10834.419466295441,1.0
1059,59,train_0059,OPTIMAL,11310.231906160385,1.0
1060,60,train_0060,FEASIBLE,11281.024277500146,1.0
1061,61,train_0061,FEASIBLE,11205.464542306225,1.0
1062,62,train_0062,OPTIMAL,11011.366146943472,1.0
1063,63,train_0063,OPTIMAL,11303.635793215128,1.0
1064,64,train_0064,FEASIBLE,11298.737608048914,1.0
1065,65,train_0065,OPTIMAL,11485.27240172944,1.0
1066,66,train_0066,FEASIBLE,11223.716151521674,1.0
1067,67,train_0067,FEASIBLE,10950.124933152038,1.0
1068,68,train_0068,FEASIBLE,11321.438501455405,1.0
1069,69,train_0069,FEASIBLE,11269.023826308301,1.0
1070,70,train_0070,FEASIBLE,10801.505597624957,1.0
1071,71,train_0071,FEASIBLE,11390.964655890713,1.0
1072,72,train_0072,OPTIMAL,11235.744533706204,1.0
1073,73,train_0073,FEASIBLE,11030.549333332568,1.0
1074,74,train_0074,OPTIMAL,11394.783819249253,1.0
1075,75,train_0075,FEASIBLE,11398.359003118767,1.0
1076,76,train_0076,OPTIMAL,11184.725426928588,1.0
1077,77,train_0077,FEASIBLE,11050.738808545102,1.0
1078,78,train_0078,FEASIBLE,11220.86074532676,1.0
1079,79,train_0079,OPTIMAL,11340.054101724949,1.0
1080,80,train_0080,OPTIMAL,11344.731486090664,1.0
1081,81,train_0081,OPTIMAL,11219.770854287459,1.0
1082,82,train_0082,OPTIMAL,11209.04166902871,1.0
1083,83,train_0083,OPTIMAL,10971.654476545886,1.0
1084,84,train_0084,FEASIBLE,11021.389944562274,1.0
1085,85,train_0085,OPTIMAL,11137.787392564698,1.0
1086,86,train_0086,FEASIBLE,10898.255507911541,1.0
1087,87,train_0087,OPTIMAL,11295.836008913122,1.0
1088,88,train_0088,OPTIMAL,11296.795444149113,1.0
1089,89,train_0089,FEASIBLE,11365.210229386466,1.0
1090,90,train_0090,FEASIBLE,11277.533226209907,1.0
1091,91,train_0091,FEASIBLE,11073.170836520581,1.0
1092,92,train_0092,FEASIBLE,11372.3219696897,1.0
1093,93,train_0093,FEASIBLE,10936.49021287445,1.0
1094,94,train_0094,FEASIBLE,10911.970183303125,1.0
1095,95,train_0095,OPTIMAL,11139.107388361746,1.0
1096,96,train_0096,FEASIBLE,11342.204754720358,1.0
1097,97,train_0097,OPTIMAL,11182.839624289052,1.0
1098,98,train_0098,OPTIMAL,10914.493139840617,1.0
1099,99,train_0099,OPTIMAL,10846.040603422769,1.0
1100,100,train_0100,OPTIMAL,10973.809575486215,1.0
1101,101,train_0101,FEASIBLE,11243.251966418386,1.0
1102,102,train_0102,OPTIMAL,11190.014348131586,1.0
1103,103,train_0103,FEASIBLE,10940.637803925165,1.0
1104,104,train_0104,OPTIMAL,11039.772836353484,1.0
1105,105,train_0105,OPTIMAL,11237.977289141503,1.0
1106,106,train_0106,OPTIMAL,11483.13498010775,1.0
1107,107,train_0107,FEASIBLE,11262.2229905311,1.0
1108,108,train_0108,FEASIBLE,11111.893183579778,1.0
1109,109,train_0109,FEASIBLE,11170.915571491276,1.0
1110,110,train_0110,OPTIMAL,11136.438458324064,1.0
1111,111,train_0111,OPTIMAL,11053.884622060377,1.0
1112,112,train_0112,OPTIMAL,11119.13666075731,1.0
1113,113,train_0113,FEASIBLE,10971.359511021707,1.0
1114,114,train_0114,FEASIBLE,11040.253361343423,1.0
1115,115,train_0115,OPTIMAL,11198.605549696442,1.0
1116,116,train_0116,OPTIMAL,11104.227580749874,1.0
1117,117,train_0117,FEASIBLE,10970.397277130794,1.0
1118,118,train_0118,FEASIBLE,11130.619643780923,1.0
1119,119,train_0119,FEASIBLE,11115.396390171942,1.0
1120,120,train_0120,FEASIBLE,10941.895696437447,1.0
1121,121,train_0121,FEASIBLE,11235.44418739197,1.0
1122,122,train_0122,OPTIMAL,11133.324013642754,1.0
1123,123,train_0123,OPTIMAL,11295.904550426081,1.0
1124,124,train_0124,FEASIBLE,11119.00159316634,1.0
1125,125,train_0125,OPTIMAL,11040.386615000209,1.0
1126,126,train_0126,FEASIBLE,11182.059018250631,1.0
1127,127,train_0127,OPTIMAL,11096.20046655074,1.0
1128,128,train_0128,OPTIMAL,10906.269490697186,1.0
1129,129,train_0129,FEASIBLE,11441.64468153832,1.0
1130,130,train_0130,OPTIMAL,11137.305263953573,1.0
1131,131,train_0131,OPTIMAL,11333.049585848494,1.0
1132,132,train_0132,FEASIBLE,11013.198566792425,1.0
1133,133,train_0133,FEASIBLE,11215.03113686963,1.0
1134,134,train_0134,OPTIMAL,11451.63893950985,1.0
1135,135,train_0135,OPTIMAL,11227.500979396451,1.0
1136,136,train_0136,OPTIMAL,11148.76173353645,1.0
1137,137,train_0137,FEASIBLE,11082.137133137705,1.0
1138,138,train_0138,FEASIBLE,11067.026584821635,1.0
1139,139,train_0139,FEASIBLE,11149.166221653282,1.0
1140,140,train_0140,FEASIBLE,11102.612559255105,1.0
1141,141,train_0141,OPTIMAL,11366.659320125093,1.0
1142,142,train_0142,OPTIMAL,11320.34993281995,1.0
1143,143,train_0143,OPTIMAL,11329.83719259267,1.0
1144,144,train_0144,OPTIMAL,11404.221693648218,1.0
1145,145,train_0145,OPTIMAL,11171.344871312553,1.0
1146,146,train_0146,OPTIMAL,11243.82062067811,1.0
1147,147,train_0147,OPTIMAL,11380.774002783557,1.0
1148,148,train_0148,FEASIBLE,11194.567264406509,1.0
1149,149,train_0149,FEASIBLE,11242.238457062009,1.0
1150,150,train_0150,OPTIMAL,11142.141227000304,1.0
1151,151,train_0151,FEASIBLE,11409.742764738226,1.0
1152,152,train_0152,FEASIBLE,11233.458399897489,1.0
1153,153,train_0153,FEASIBLE,11012.266634400683,1.0
1154,154,train_0154,FEASIBLE,11234.70170795969,1.0
1155,155,train_0155,FEASIBLE,11261.664329544026,1.0
1156,156,train_0156,FEASIBLE,11130.548500842062,1.0
1157,157,train_0157,OPTIMAL,11240.110275436686,1.0
