number,value,datetime_start,datetime_complete,duration,params_clip_range,params_entropy_coef,params_frontier_max,params_hidden_size,params_lr,params_pid_ki,params_pid_kp,params_pid_lambda_max,user_attrs_mean_cost,user_attrs_mean_emissions,state
0,14737.097273650747,2026-09-02 14:49:17.073736,2026-09-02 14:50:24.899065,0 days 00:01:07.825329,0.2953270956320602,0.061202546043189365,10,192,5.5606869269633186e-05,2.7167272434229126,1.1913800593855337,1.8757219615741372,12234.340036884872,10000.551447353175,COMPLETE
1,16822.675072300866,2026-09-02 14:50:24.899638,2026-09-02 14:51:27.968151,0 days 00:01:03.068513,0.10963502054257053,0.22519545414560593,24,128,6.89840277986852e-05,2.85905529996669,10.487037737770862,0.33170041315238796,11694.337365834695,10525.667541293235,COMPLETE
2,15348.109743554618,2026-09-02 14:51:27.978129,2026-09-02 14:56:14.449292,0 days 00:04:46.471163,0.1298334266146705,0.27425362450925045,24,192,5.826348119663015e-05,0.9968479648390639,23.57845202333653,1.6558984954900822,12065.643698196394,10156.493209071645,COMPLETE
3,16846.68277435164,2026-09-02 14:56:14.449682,2026-09-02 15:00:29.230478,0 days 00:04:14.780796,0.14143600004295104,0.07541914125859127,24,128,0.00015102069080964975,0.1489435861377383,0.5530265248817888,0.5997593739583587,11528.784446530935,10563.57966556414,COMPLETE
4,14731.960015812605,2026-09-02 15:00:29.230815,2026-09-02 15:03:49.932322,0 days 00:03:20.701507,0.13399190809743802,0.025132278615338528,24,64,0.0003320893700316203,0.869848285285411,0.6236415426270955,7.903381564244677,12065.690389033629,10033.253925355795,COMPLETE
5,17228.92101137596,2026-09-02 15:03:49.932730,2026-09-02 15:06:26.962574,0 days 00:02:37.029844,0.21750156389754605,0.10088536792933661,16,128,0.00019961461015045057,2.7084285753652217,1.401688840007016,0.5211704505748395,11544.77835613722,10636.828531047748,COMPLETE
6,16559.134289627542,2026-09-02 15:06:26.962891,2026-09-02 15:09:58.068543,0 days 00:03:31.105652,0.15349286107161356,0.07106309111149094,24,64,0.00012419457486719413,1.345824251891278,18.130177203934362,0.7504338617026672,11920.946434340109,10427.637571057487,COMPLETE
7,12983.404068822396,2026-09-02 15:09:58.068875,2026-09-02 15:13:45.236493,0 days 00:03:47.167618,0.14648987684972778,0.031522530850388,24,128,6.661350083623665e-05,3.4169310762916045,6.856837531900501,3.1487343053947963,12983.404068822396,9292.143476105808,COMPLETE
8,16917.99614298949,2026-09-02 15:13:45.236925,2026-09-02 15:18:04.505433,0 days 00:04:19.268508,0.27811966093113766,0.1050662288628048,24,128,0.000405115120651274,0.3336333953292301,29.728302700145548,0.8687093666825635,11519.210647505612,10579.757099096776,COMPLETE
9,16472.911254888866,2026-09-02 15:18:04.505749,2026-09-02 15:21:22.580686,0 days 00:03:18.074937,0.28364430698894716,0.07120966031162115,16,192,0.00016082035626751128,0.06392585422112716,31.685162001389422,1.1124198042683304,11490.540664012406,10496.474118175292,COMPLETE
10,13558.34323906696,2026-09-02 15:21:22.581032,2026-09-02 15:24:20.789570,0 days 00:02:58.208538,0.19694335346537625,0.0230311915154981,10,128,3.21739187028876e-05,0.33836032131401456,5.292722659409341,5.625652492237429,13558.34323906696,9065.419058688707,COMPLETE
11,13561.540640642825,2026-09-02 15:24:20.789964,2026-09-02 15:27:33.190874,0 days 00:03:12.400910,0.18967625978306737,0.020330895739325106,10,128,3.131243201511471e-05,0.3790769448488915,4.357945762227832,4.977109113697376,13561.540640642825,9065.845985765794,COMPLETE
12,13096.800422789758,2026-09-02 15:27:33.191254,2026-09-02 15:30:02.570474,0 days 00:02:29.379220,0.18782144550524096,0.03244585243194973,10,128,3.482029930546828e-05,0.05743947850148482,4.710733562311072,3.6170648057086443,13096.800422789758,9255.105989405341,COMPLETE
13,13563.830950585116,2026-09-02 15:30:02.570867,2026-09-02 15:32:18.011296,0 days 00:02:15.440429,0.1748672270937271,0.03785743921963495,10,128,8.531011155541014e-05,0.05547404403217459,4.968343695550838,2.7456967858146126,12466.121025071943,9719.541985102634,COMPLETE
14,13159.312468366408,2026-09-02 15:32:18.011630,2026-09-02 15:34:26.241163,0 days 00:02:08.229533,0.22918973197232814,0.036865446026558266,10,128,4.076561943910801e-05,0.14277571546539689,2.723362216034742,3.1672101329855757,13159.312468366408,9219.321790760656,COMPLETE
15,15666.777612675607,2026-09-02 15:34:26.241614,2026-09-02 15:36:47.650312,0 days 00:02:21.408698,0.24483924754453035,0.03693837420624666,16,64,9.571038978596413e-05,0.13253744230931014,9.454995389829975,3.6235208451527945,12041.691690019517,10225.017184531218,COMPLETE
16,12945.112828973064,2026-09-02 15:36:47.650691,2026-09-02 15:39:14.289847,0 days 00:02:26.639156,0.16693832667132857,0.047922331712875375,10,128,4.47466652962188e-05,1.578080866775299,12.385974989741731,1.8968592631667593,12945.112828973064,9316.523254414416,COMPLETE
17,13009.083369394355,2026-09-02 15:39:14.290338,2026-09-02 15:42:09.920698,0 days 00:02:55.630360,0.15844784348300955,0.050769903026473474,24,128,4.7797258648843164e-05,1.665763445234465,12.632753226387335,1.8255406681594,12576.92367425813,9586.431939027245,COMPLETE
18,14899.179421546838,2026-09-02 15:42:09.921277,2026-09-02 15:44:11.559540,0 days 00:02:01.638263,0.10637469523213544,0.04958405237479859,10,192,8.04654718817406e-05,3.6390310482359003,7.227889976263388,1.3036069247588569,12079.06117698875,10064.023648911618,COMPLETE
19,15172.021265233483,2026-09-02 15:44:11.559829,2026-09-02 15:46:03.021258,0 days 00:01:51.461429,0.16683893295950397,0.1425240878747911,16,64,0.00010973160154502191,0.613924917498353,2.8146838743218883,2.6537183070692247,12060.392275794633,10122.32579788777,COMPLETE
