number,value,datetime_start,datetime_complete,duration,params_clip_range,params_entropy_coef,params_frontier_max,params_hidden_size,params_lr,state
0,11514.43045174543,2026-09-02 08:05:56.937061,2026-09-02 08:06:14.563126,0 days 00:00:17.626065,0.2953270956320602,0.061202546043189365,16,192,5.5606869269633186e-05,COMPLETE
1,11436.528775691706,2026-09-02 08:06:14.563485,2026-09-02 08:06:28.170387,0 days 00:00:13.606902,0.17946019869724686,0.04537013471398587,16,128,0.00027171223914393763,COMPLETE
2,11870.25537390387,2026-09-02 08:06:28.171002,2026-09-02 08:06:49.299446,0 days 00:00:21.128444,0.10611861350844348,0.24377834585979669,16,192,0.00021168337741108868,COMPLETE
3,12409.669426934524,2026-09-02 08:06:49.300017,2026-09-02 08:07:09.247640,0 days 00:00:19.947623,0.23651549663458488,0.07150287050003218,24,64,3.4231159546519684e-05,COMPLETE
4,11859.550459164217,2026-09-02 08:07:09.247976,2026-09-02 08:07:31.562931,0 days 00:00:22.314955,0.14143600004295104,0.07541914125859127,16,128,0.00015102069080964975,COMPLETE
5,12380.656252767883,2026-09-02 08:07:31.563476,2026-09-02 08:07:50.376134,0 days 00:00:18.812658,0.24844908879494318,0.12307904005694931,10,64,5.305184132240365e-05,COMPLETE
6,11493.356385001387,2026-09-02 08:07:50.376471,2026-09-02 08:08:12.473863,0 days 00:00:22.097392,0.2992598663217561,0.11685052296080148,10,192,3.457276246646622e-05,COMPLETE
7,12180.766684013077,2026-09-02 08:08:12.474236,2026-09-02 08:08:31.597165,0 days 00:00:19.122929,0.22744619497733584,0.2978939003496864,16,128,3.939348184920088e-05,COMPLETE
8,12081.02596374616,2026-09-02 08:08:31.597512,2026-09-02 08:08:55.367843,0 days 00:00:23.770331,0.15349286107161356,0.07106309111149094,10,64,0.00012419457486719413,COMPLETE
9,11795.81431686738,2026-09-02 08:08:55.368185,2026-09-02 08:09:22.872324,0 days 00:00:27.504139,0.28310548244022415,0.14844001997503237,16,64,0.00033314996861152007,COMPLETE
10,11475.080851319204,2026-09-02 08:09:22.872761,2026-09-02 08:09:56.302557,0 days 00:00:33.429796,0.18804338994749195,0.02328816333740658,24,128,0.0004591616597379594,COMPLETE
11,11623.808185124653,2026-09-02 08:09:56.302964,2026-09-02 08:10:26.736196,0 days 00:00:30.433232,0.18636736262569673,0.0231820043296155,24,128,0.0004803023988177525,COMPLETE
12,11611.536677560884,2026-09-02 08:10:26.736610,2026-09-02 08:10:58.270586,0 days 00:00:31.533976,0.1851341982231692,0.023317452617516936,24,128,0.00028657801818640844,COMPLETE
13,11459.756513078954,2026-09-02 08:10:58.270953,2026-09-02 08:11:27.948151,0 days 00:00:29.677198,0.19371567643569954,0.03710223294842602,24,128,0.0004646987928009064,COMPLETE
14,11627.725078013971,2026-09-02 08:11:27.948562,2026-09-02 08:11:59.128656,0 days 00:00:31.180094,0.21131038941825422,0.042380156853784295,24,128,0.00022439688742237606,COMPLETE
