number,value,datetime_start,datetime_complete,duration,params_clip_range,params_entropy_coef,params_frontier_max,params_hidden_size,params_lr,params_pid_ki,params_pid_kp,params_pid_lambda_max,state
0,12121.814924546541,2026-09-02 08:55:34.720879,2026-09-02 08:56:35.325889,0 days 00:01:00.605010,0.2953270956320602,0.061202546043189365,10,192,5.5606869269633186e-05,1.061935162245925,0.6512639239723287,0.9069494382098385,COMPLETE
1,11603.253293827189,2026-09-02 08:56:35.327032,2026-09-02 08:57:24.228568,0 days 00:00:48.901536,0.10963502054257053,0.22519545414560593,24,128,6.89840277986852e-05,1.1114653525181308,4.5398778279424,0.21727523833658466,COMPLETE
2,11672.688504726213,2026-09-02 08:57:24.229174,2026-09-02 08:58:28.032293,0 days 00:01:03.803119,0.1298334266146705,0.27425362450925045,24,192,5.826348119663015e-05,0.43389283884884294,9.357651444973113,0.8183414432265924,COMPLETE
3,11513.236165086713,2026-09-02 08:58:28.032690,2026-09-02 08:59:18.546720,0 days 00:00:50.514030,0.14143600004295104,0.07541914125859127,24,128,0.00015102069080964975,0.07949276763664863,0.32824787892859847,0.35413249266872887,COMPLETE
4,12048.652456577162,2026-09-02 08:59:18.547182,2026-09-02 09:00:03.953782,0 days 00:00:45.406600,0.13399190809743802,0.025132278615338528,24,64,0.0003320893700316203,0.38418917655028895,0.3654208747436188,2.9700853592417777,COMPLETE
5,11517.491193185888,2026-09-02 09:00:03.954175,2026-09-02 09:00:46.229361,0 days 00:00:42.275186,0.21750156389754605,0.10088536792933661,16,128,0.00019961461015045057,1.05903876608578,0.7529841216744162,0.3153967969658369,COMPLETE
6,11759.915272070059,2026-09-02 09:00:46.229710,2026-09-02 09:01:29.831836,0 days 00:00:43.602126,0.15349286107161356,0.07106309111149094,24,64,0.00012419457486719413,0.5672309605358302,7.401045659012683,0.4260344677838052,COMPLETE
7,12178.552736268857,2026-09-02 09:01:29.832236,2026-09-02 09:02:19.542397,0 days 00:00:49.710161,0.14648987684972778,0.031522530850388,24,128,6.661350083623665e-05,1.303186055666364,3.1067566980292267,1.3903648505348138,COMPLETE
8,11503.686768918526,2026-09-02 09:02:19.542767,2026-09-02 09:03:08.675866,0 days 00:00:49.133099,0.27811966093113766,0.1050662288628048,24,128,0.000405115120651274,0.16330848894162944,11.50868600610036,0.4806939024213395,COMPLETE
9,11397.755638286524,2026-09-02 09:03:08.676233,2026-09-02 09:03:58.279613,0 days 00:00:49.603380,0.28364430698894716,0.07120966031162115,16,192,0.00016082035626751128,0.03735792561148804,12.18265813266537,0.589445639617262,COMPLETE
10,12264.85192453677,2026-09-02 09:03:58.279944,2026-09-02 09:04:46.062605,0 days 00:00:47.782661,0.21473835278829465,0.03833951101303089,16,192,3.21739187028876e-05,0.033094799576069145,1.8204046810581116,2.061013121784055,COMPLETE
11,11333.731626571369,2026-09-02 09:04:46.063113,2026-09-02 09:05:31.936486,0 days 00:00:45.873373,0.2968533074332315,0.12662555874024636,16,192,0.00044988960570049283,0.12291704533209695,14.383821878801404,0.6449628755448891,COMPLETE
12,11419.832101002863,2026-09-02 09:05:31.936860,2026-09-02 09:06:24.841790,0 days 00:00:52.904930,0.2605531456020356,0.1674092281790328,16,192,0.0002627937786392612,0.033954748405577884,13.437163673850606,0.6976211923339393,COMPLETE
13,11346.457923653908,2026-09-02 09:06:24.842168,2026-09-02 09:07:20.698571,0 days 00:00:55.856403,0.24425552277586077,0.12931941025116797,16,192,0.000472411085647067,0.08257694158404297,5.995151307178177,0.5820957710679379,COMPLETE
14,11627.0218680899,2026-09-02 09:07:20.698947,2026-09-02 09:08:16.062817,0 days 00:00:55.363870,0.2364233010889261,0.14677246586580642,16,192,0.00046959777935720376,0.12129137261381384,5.638536969230092,1.2354645432936193,COMPLETE
