benchmark,verdict,holm_significant,n,mean_proposed,mean_baseline,mean_diff,pct_improvement,t_stat,t_pvalue,wilcoxon_stat,wilcoxon_pvalue,cohens_d,significant_alpha_0.05_uncorrected
random,win,True,50,11324.298882686651,12076.321238281253,752.0223555945981,6.227247029589855,17.690818850918536,6.41739598685841e-23,0.0,1.7763568394002505e-15,2.501859594845461,True
carbon_greedy,win,True,50,11324.298882686651,11635.562864257812,311.2639815711604,2.6751089328673805,5.801605887237976,4.724106970046091e-07,182.0,3.006746544187422e-06,0.820470972927554,True
hcbs_ppo,win,True,50,11324.298882686651,11594.068915064357,269.7700323777054,2.326793417858582,11.660321822591001,9.652914534596312e-16,11.0,9.769962616701378e-14,1.649018526314316,True
s1_zero_delay,win,True,50,11324.298882686651,11582.181626953126,257.88274426647297,2.2265472306732685,6.018152052900397,2.194468515618961e-07,154.0,5.215646012857178e-07,0.8510952253635224,True
s2_single_dc_temporal,win,True,50,11324.298882686651,11517.0485703125,192.74968762584797,1.673603149705376,4.654233604989873,2.5037384022836745e-05,238.0,5.9166993136017254e-05,0.6582080286629302,True
tags,win,True,50,11324.298882686651,11432.674383308355,108.37550062170412,0.9479453099786678,4.384381489125644,6.14672674839382e-05,226.0,3.288899332076767e-05,0.6200451764539033,True
dqn,tie,False,50,11324.298882686651,11307.60937890625,-16.68950378040212,-0.14759533355950116,-0.4117309109017623,0.6823322031277597,547.0,0.38817752503383396,-0.05822754382455006,False
edf,loss,True,50,11324.298882686651,11240.658207031249,-83.640675655402,-0.7440905515931723,-2.384059548967604,0.021040064959411665,365.0,0.00784436585604098,-0.337156934765507,True
mlp_ppo,loss,True,50,11324.298882686651,11024.094832031253,-300.20405065540194,-2.723162810457134,-10.742346330517385,1.7711999785876036e-14,27.0,2.239985974483716e-12,-1.519197187232654,True
a2c,loss,True,50,11324.298882686651,10831.039601562501,-493.25928112415187,-4.55412683610716,-18.985184523574073,3.1071997936719345e-24,0.0,1.7763568394002505e-15,-2.684910543739424,True
source_ppo,loss,True,50,11324.298882686651,10829.284000000001,-495.01488268665184,-4.571076746040198,-23.64441967451746,1.8848128139642186e-28,0.0,1.7763568394002505e-15,-3.3438258978143836,True
greedy_spatiotemporal,loss,True,50,11324.298882686651,10798.940548828126,-525.3583338585271,-4.864906251526105,-24.412118252273665,4.4409689694545827e-29,0.0,1.7763568394002505e-15,-3.4523948718621194,True
heft,loss,True,50,11324.298882686651,10797.370650246081,-526.9282324405722,-4.880153229050843,-24.577928921175893,3.266555517568199e-29,0.0,1.7763568394002505e-15,-3.475844041536889,True
cpsat,loss,True,50,11324.298882686651,10685.367097121458,-638.9317855651931,-5.9795024331669016,-29.120177401926213,1.3580143930014983e-32,0.0,1.7763568394002505e-15,-4.118214982051456,True
