scenario_id,method,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,solver_status,scheduled_fraction,solve_time_s,mean_decision_latency_ms,p95_decision_latency_ms,seed,decision_calls
real_5000,s1_zero_delay,10883.41796875,10518.1142578125,-272.18857421875003,272.18857421875003,10611.22939453125,4.3,0.0,0.0,0.0,,,,,,,,
real_5000,s2_single_dc_temporal,11214.056640625,10425.994140625,-281.4005859375,281.4005859375,10932.6560546875,11.96,0.0,0.0,0.0,,,,,,,,
real_5000,greedy_spatiotemporal,10906.28515625,10430.041015625,-280.9958984375,280.9958984375,10625.2892578125,12.84,0.4,0.0,0.0,,,,,,,,
real_5000,edf,10994.814453125,10538.3017578125,-270.16982421875,270.16982421875,10724.64462890625,4.3,0.44,0.0,0.0,,,,,,,,
real_5000,carbon_greedy,12066.927734375,9653.818359375,-358.6181640625,358.6181640625,11708.3095703125,17.18,0.58,0.0,0.0,,,,,,,,
real_5000,heft,10906.284625973678,10430.040766136,-280.99592338639997,280.99592338639997,10625.288702587279,12.84,0.4,0.0,0.0,50.0,,,,,,,
real_5000,random,12061.169921875,10391.474609375,-284.8525390625,284.8525390625,11776.3173828125,14.94,0.74,0.0,0.0,,,,,,,,
real_5000,cpsat,10570.685015530058,10386.004406145534,-285.39955938544665,285.39955938544665,10285.285456144611,8.22,0.3,0.0,0.0,,FEASIBLE,1.0,10.1298537,,,,
real_5001,s1_zero_delay,12268.794921875,14196.984375,95.69843750000001,0.0,12364.493359375,3.76,0.0,0.0,0.0,,,,,,,,
real_5001,s2_single_dc_temporal,12004.25,14295.337890625,105.5337890625,0.0,12109.7837890625,15.24,0.0,0.0,0.0,,,,,,,,
real_5001,greedy_spatiotemporal,11455.3486328125,14291.359375,105.13593750000001,0.0,11560.4845703125,17.14,0.6,0.0,0.0,,,,,,,,
real_5001,edf,12279.7392578125,13718.794921875,47.879492187500006,0.0,12327.61875,3.76,0.42,0.0,0.0,,,,,,,,
real_5001,carbon_greedy,12658.59375,13230.513671875,-0.9486328125000001,0.9486328125000001,12657.6451171875,19.16,0.6,0.0,0.0,,,,,,,,
real_5001,heft,11442.590995220657,14302.24716839644,106.22471683964396,0.0,11548.815712060301,17.14,0.6,0.0,0.0,50.0,,,,,,,
real_5001,random,12847.9873046875,14819.771484375,157.9771484375,0.0,13005.964453125,17.58,0.7,0.0,0.0,,,,,,,,
real_5001,cpsat,11394.550082982678,14272.444605924167,103.24446059241673,0.0,11497.794543575095,14.54,0.6,0.0,0.0,,FEASIBLE,1.0,10.1221295,,,,
real_5000,source_ppo,10919.017578125,10318.8779296875,-292.11220703125,292.11220703125,10626.90537109375,13.36,0.4,0.0,0.0,,,,,26.214977995259687,21.877919964026656,,
real_5001,source_ppo,11535.5107421875,14308.25,106.825,0.0,11642.3357421875,18.08,0.6,0.0,0.0,,,,,11.791153999511153,23.209795024013147,,
real_5000,a2c,10630.81640625,10218.0791015625,-302.19208984375,302.19208984375,10328.62431640625,4.98,0.34,0.0,0.0,,,,,11.930081997998059,23.01934498536866,,
real_5001,a2c,11579.546875,14086.8359375,84.68359375,0.0,11664.23046875,11.1,0.6,0.0,0.0,,,,,11.903764005983248,23.796780011616647,,
