method,task_id,workload_id,dc,start,end
s1_zero_delay,0,0,0,8,11
s1_zero_delay,1,0,0,11,15
s1_zero_delay,2,0,0,15,17
s1_zero_delay,3,0,0,17,20
s1_zero_delay,4,0,0,20,21
s1_zero_delay,5,1,0,12,13
s1_zero_delay,6,1,0,13,15
s1_zero_delay,7,1,0,13,17
s1_zero_delay,8,1,0,17,20
s1_zero_delay,9,2,0,18,21
s1_zero_delay,10,2,0,18,22
s1_zero_delay,11,2,0,22,23
s1_zero_delay,12,2,0,22,23
s1_zero_delay,13,2,0,23,24
s1_zero_delay,14,2,0,24,26
s1_zero_delay,15,3,2,21,24
s1_zero_delay,16,3,2,21,23
s1_zero_delay,17,3,2,24,26
s1_zero_delay,18,3,2,26,29
s1_zero_delay,19,3,2,29,33
s1_zero_delay,20,4,1,21,25
s1_zero_delay,21,4,1,25,29
s1_zero_delay,22,4,1,29,30
s1_zero_delay,23,4,1,30,32
s1_zero_delay,24,4,1,32,33
s1_zero_delay,25,5,0,33,37
s1_zero_delay,26,5,0,37,38
s1_zero_delay,27,5,0,37,40
s1_zero_delay,28,5,0,40,41
s1_zero_delay,29,6,0,35,36
s1_zero_delay,30,6,0,35,38
s1_zero_delay,31,6,0,38,39
s1_zero_delay,32,6,0,38,40
s1_zero_delay,33,6,0,40,41
s1_zero_delay,34,6,0,41,43
s1_zero_delay,35,7,2,40,44
s1_zero_delay,36,7,2,40,42
s1_zero_delay,37,7,2,44,47
s1_zero_delay,38,7,2,47,51
s1_zero_delay,39,7,2,51,54
s1_zero_delay,40,8,2,45,47
s1_zero_delay,41,8,2,47,48
s1_zero_delay,42,8,2,48,49
s1_zero_delay,43,8,2,49,50
s1_zero_delay,44,8,2,50,51
s1_zero_delay,45,9,2,58,61
s1_zero_delay,46,9,2,61,65
s1_zero_delay,47,9,2,61,63
s1_zero_delay,48,9,2,65,69
s1_zero_delay,49,9,2,69,70
s2_single_dc_temporal,0,0,0,9,12
s2_single_dc_temporal,1,0,0,12,16
s2_single_dc_temporal,2,0,0,16,18
s2_single_dc_temporal,3,0,0,18,21
s2_single_dc_temporal,4,0,0,21,22
s2_single_dc_temporal,5,1,0,12,13
s2_single_dc_temporal,6,1,0,14,16
s2_single_dc_temporal,7,1,0,13,17
s2_single_dc_temporal,8,1,0,17,20
s2_single_dc_temporal,9,2,0,18,21
s2_single_dc_temporal,10,2,0,18,22
s2_single_dc_temporal,11,2,0,22,23
s2_single_dc_temporal,12,2,0,22,23
s2_single_dc_temporal,13,2,0,23,24
s2_single_dc_temporal,14,2,0,24,26
s2_single_dc_temporal,15,3,2,21,24
s2_single_dc_temporal,16,3,2,21,23
s2_single_dc_temporal,17,3,2,25,27
s2_single_dc_temporal,18,3,2,29,32
s2_single_dc_temporal,19,3,2,32,36
s2_single_dc_temporal,20,4,1,36,40
s2_single_dc_temporal,21,4,1,40,44
s2_single_dc_temporal,22,4,1,44,45
s2_single_dc_temporal,23,4,1,45,47
s2_single_dc_temporal,24,4,1,47,48
s2_single_dc_temporal,25,5,0,33,37
s2_single_dc_temporal,26,5,0,39,40
s2_single_dc_temporal,27,5,0,37,40
s2_single_dc_temporal,28,5,0,60,61
s2_single_dc_temporal,29,6,0,35,36
s2_single_dc_temporal,30,6,0,35,38
s2_single_dc_temporal,31,6,0,39,40
s2_single_dc_temporal,32,6,0,38,40
s2_single_dc_temporal,33,6,0,42,43
s2_single_dc_temporal,34,6,0,43,45
s2_single_dc_temporal,35,7,2,47,51
s2_single_dc_temporal,36,7,2,48,50
s2_single_dc_temporal,37,7,2,51,54
s2_single_dc_temporal,38,7,2,54,58
s2_single_dc_temporal,39,7,2,58,61
s2_single_dc_temporal,40,8,2,59,61
s2_single_dc_temporal,41,8,2,62,63
s2_single_dc_temporal,42,8,2,63,64
s2_single_dc_temporal,43,8,2,64,65
s2_single_dc_temporal,44,8,2,65,66
s2_single_dc_temporal,45,9,2,78,81
s2_single_dc_temporal,46,9,2,81,85
s2_single_dc_temporal,47,9,2,81,83
s2_single_dc_temporal,48,9,2,85,89
s2_single_dc_temporal,49,9,2,89,90
greedy_spatiotemporal,0,0,0,9,12
greedy_spatiotemporal,1,0,0,12,16
greedy_spatiotemporal,2,0,0,16,18
greedy_spatiotemporal,3,0,0,18,21
greedy_spatiotemporal,4,0,1,30,31
greedy_spatiotemporal,5,1,0,12,13
greedy_spatiotemporal,6,1,0,14,16
greedy_spatiotemporal,7,1,0,13,17
greedy_spatiotemporal,8,1,0,17,20
greedy_spatiotemporal,9,2,1,41,44
greedy_spatiotemporal,10,2,1,41,45
greedy_spatiotemporal,11,2,1,45,46
greedy_spatiotemporal,12,2,1,45,46
greedy_spatiotemporal,13,2,1,46,47
greedy_spatiotemporal,14,2,1,47,49
greedy_spatiotemporal,15,3,1,36,39
greedy_spatiotemporal,16,3,1,37,39
greedy_spatiotemporal,17,3,1,39,41
greedy_spatiotemporal,18,3,1,41,44
greedy_spatiotemporal,19,3,1,44,48
greedy_spatiotemporal,20,4,1,36,40
greedy_spatiotemporal,21,4,1,40,44
greedy_spatiotemporal,22,4,1,44,45
greedy_spatiotemporal,23,4,1,45,47
greedy_spatiotemporal,24,4,1,47,48
greedy_spatiotemporal,25,5,1,48,52
greedy_spatiotemporal,26,5,1,56,57
