episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations
0,0,train_0511,11875.6796875,10551.1953125,-268.88046875000003,268.88046875000003,11606.79921875,16.0,0.74,0.0,0.0
1,0,train_0107,12813.7958984375,10500.6640625,-273.93359375,273.93359375,12539.8623046875,15.64,0.72,0.0,0.0
2,0,train_0015,12368.99609375,10106.16015625,-313.383984375,313.383984375,12055.612109375,15.6,0.66,0.0,0.0
3,0,train_0383,12056.3828125,10670.470703125,-256.9529296875,256.9529296875,11799.4298828125,17.32,0.68,0.0,0.0
4,0,train_0219,12417.0908203125,10491.7373046875,-274.82626953125003,274.82626953125003,12142.26455078125,15.96,0.58,0.0,0.0
5,0,train_0280,12409.85546875,10656.998046875,-258.3001953125,258.3001953125,12151.5552734375,17.66,0.66,0.0,0.0
6,0,train_0047,12097.923828125,10263.8076171875,-297.61923828125003,297.61923828125003,11800.30458984375,14.28,0.62,0.0,0.0
7,0,train_0222,12651.0615234375,10034.0107421875,-320.59892578125005,320.59892578125005,12330.46259765625,18.18,0.64,0.0,0.0
8,0,train_0386,12475.9892578125,10481.279296875,-275.8720703125,275.8720703125,12200.1171875,15.66,0.68,0.0,0.0
9,0,train_0212,12374.6015625,10186.6787109375,-305.33212890625003,305.33212890625003,12069.26943359375,15.12,0.66,0.0,0.0
10,0,train_0498,12506.595703125,10637.5517578125,-260.24482421875,260.24482421875,12246.35087890625,14.82,0.6,0.0,0.0
11,0,train_0474,12595.638671875,10294.98828125,-294.501171875,294.501171875,12301.1375,14.06,0.5,0.0,0.0
12,0,train_0422,12418.5751953125,10553.9365234375,-268.60634765625,268.60634765625,12149.96884765625,15.2,0.54,0.0,0.0
13,0,train_0543,12467.044921875,10501.390625,-273.86093750000003,273.86093750000003,12193.183984375,16.14,0.9,0.0,0.0
14,0,train_0432,12295.505859375,10501.1435546875,-273.88564453125,273.88564453125,12021.62021484375,15.16,0.68,0.0,0.0
15,0,train_0106,12673.7109375,10915.234375,-232.4765625,232.4765625,12441.234375,16.58,0.72,0.0,0.0
16,1,train_0515,12635.095703125,10220.7265625,-301.92734375000003,301.92734375000003,12333.168359375,16.8,0.68,0.0,0.0
17,1,train_0391,12359.60546875,10306.98828125,-293.301171875,293.301171875,12066.304296875,13.84,0.58,0.0,0.0
